Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
40000;	13;	5997;	14000;	20000;	0;	100%;	2;	1;	0;	1;	88%;	54%;	1;	1;	0;	0;	90%;	54%;	1;	1;	0;	0;	89%;	54%;	73%;	53%;	52%;	48%;	23%;	40%;	NaN%;	NaN%;	
45000;	13;	6747;	15750;	22500;	0;	100%;	2;	1;	0;	1;	88%;	54%;	2;	0;	1;	1;	92%;	54%;	1;	1;	0;	0;	88%;	54%;	73%;	53%;	52%;	49%;	23%;	40%;	NaN%;	NaN%;	
50000;	13;	7497;	17500;	25000;	0;	99%;	1;	1;	0;	0;	88%;	54%;	1;	1;	0;	0;	83%;	54%;	1;	0;	1;	0;	89%;	54%;	68%;	53%;	48%;	48%;	22%;	40%;	NaN%;	NaN%;	
5000;	14;	747;	1750;	2500;	0;	100%;	2;	2;	0;	0;	83%;	50%;	2;	1;	0;	1;	91%;	50%;	2;	2;	0;	0;	77%;	50%;	71%;	50%;	51%;	46%;	22%;	39%;	NaN%;	NaN%;	
10000;	14;	1497;	3500;	5000;	0;	100%;	3;	3;	0;	0;	85%;	50%;	2;	1;	1;	0;	89%;	50%;	1;	1;	0;	0;	84%;	50%;	66%;	49%;	46%;	45%;	19%;	39%;	NaN%;	NaN%;	
15000;	14;	2247;	5250;	7500;	0;	100%;	3;	3;	0;	0;	76%;	50%;	1;	1;	0;	0;	85%;	50%;	1;	0;	1;	0;	88%;	50%;	69%;	49%;	48%;	46%;	21%;	39%;	NaN%;	NaN%;	
20000;	14;	2997;	7000;	10000;	0;	100%;	2;	2;	0;	0;	93%;	50%;	2;	1;	1;	0;	89%;	50%;	2;	2;	0;	0;	81%;	50%;	75%;	50%;	53%;	46%;	24%;	39%;	NaN%;	NaN%;	
25000;	14;	3747;	8750;	12500;	0;	100%;	1;	1;	0;	0;	88%;	50%;	1;	1;	0;	0;	88%;	50%;	1;	1;	0;	0;	87%;	50%;	68%;	49%;	48%;	45%;	21%;	38%;	NaN%;	NaN%;	
30000;	14;	4497;	10500;	15000;	0;	100%;	3;	2;	0;	1;	75%;	50%;	1;	1;	0;	0;	91%;	50%;	1;	1;	0;	0;	87%;	50%;	66%;	50%;	45%;	46%;	20%;	38%;	NaN%;	NaN%;	
35000;	14;	5247;	12250;	17500;	0;	100%;	2;	2;	0;	0;	83%;	50%;	1;	1;	0;	0;	85%;	50%;	2;	2;	0;	0;	70%;	50%;	70%;	50%;	49%;	46%;	21%;	38%;	NaN%;	NaN%;	
40000;	14;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	91%;	50%;	1;	1;	0;	0;	88%;	50%;	1;	1;	0;	0;	86%;	50%;	71%;	50%;	51%;	45%;	23%;	39%;	NaN%;	NaN%;	
45000;	14;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	84%;	50%;	1;	1;	0;	0;	82%;	50%;	1;	0;	1;	0;	86%;	50%;	66%;	49%;	47%;	45%;	21%;	39%;	NaN%;	NaN%;	
50000;	14;	7497;	17500;	25000;	0;	99%;	1;	1;	0;	0;	93%;	50%;	1;	1;	0;	0;	90%;	50%;	1;	1;	0;	0;	90%;	50%;	72%;	50%;	51%;	46%;	23%;	39%;	NaN%;	NaN%;	
5000;	15;	747;	1750;	2500;	0;	100%;	3;	1;	1;	1;	92%;	47%;	2;	2;	0;	0;	86%;	47%;	2;	0;	1;	1;	94%;	47%;	73%;	46%;	51%;	43%;	23%;	37%;	NaN%;	NaN%;	
10000;	15;	1497;	3500;	5000;	0;	100%;	2;	2;	0;	0;	82%;	47%;	1;	1;	0;	0;	87%;	47%;	2;	1;	0;	1;	83%;	47%;	67%;	46%;	47%;	43%;	21%;	37%;	NaN%;	NaN%;	
15000;	15;	2247;	5250;	7500;	0;	100%;	2;	2;	0;	0;	77%;	47%;	2;	1;	1;	0;	77%;	47%;	2;	0;	2;	0;	83%;	47%;	67%;	46%;	47%;	43%;	20%;	37%;	NaN%;	NaN%;	
20000;	15;	2997;	7000;	10000;	0;	99%;	1;	1;	0;	0;	86%;	47%;	1;	1;	0;	0;	86%;	47%;	1;	0;	0;	1;	90%;	47%;	69%;	46%;	48%;	43%;	21%;	37%;	NaN%;	NaN%;	
25000;	15;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	84%;	47%;	1;	1;	0;	0;	90%;	47%;	2;	1;	0;	1;	84%;	47%;	68%;	46%;	49%;	43%;	21%;	37%;	NaN%;	NaN%;	
30000;	15;	4497;	10500;	15000;	0;	99%;	1;	1;	0;	0;	87%;	47%;	2;	1;	0;	1;	83%;	47%;	2;	1;	1;	0;	79%;	47%;	66%;	46%;	46%;	43%;	20%;	37%;	NaN%;	NaN%;	
35000;	15;	5247;	12250;	17500;	0;	100%;	2;	1;	0;	1;	90%;	47%;	1;	1;	0;	0;	93%;	47%;	1;	1;	0;	0;	89%;	47%;	74%;	46%;	53%;	43%;	24%;	37%;	NaN%;	NaN%;	
40000;	15;	5997;	14000;	20000;	0;	100%;	2;	1;	1;	0;	83%;	47%;	1;	1;	0;	0;	87%;	47%;	2;	0;	1;	1;	90%;	47%;	67%;	46%;	47%;	43%;	20%;	37%;	NaN%;	NaN%;	
45000;	15;	6747;	15750;	22500;	0;	100%;	2;	2;	0;	0;	88%;	47%;	2;	1;	0;	1;	88%;	47%;	1;	1;	0;	0;	85%;	47%;	70%;	46%;	50%;	43%;	22%;	37%;	NaN%;	NaN%;	
50000;	15;	7497;	17500;	25000;	0;	100%;	2;	1;	0;	1;	89%;	47%;	1;	1;	0;	0;	90%;	47%;	1;	0;	1;	0;	96%;	47%;	72%;	46%;	50%;	43%;	22%;	37%;	NaN%;	NaN%;	
5000;	16;	747;	1750;	2500;	0;	99%;	2;	1;	0;	1;	94%;	44%;	2;	2;	0;	0;	79%;	44%;	1;	1;	0;	0;	92%;	44%;	76%;	43%;	54%;	41%;	23%;	36%;	NaN%;	NaN%;	
10000;	16;	1497;	3500;	5000;	0;	100%;	1;	1;	0;	0;	91%;	44%;	2;	1;	0;	1;	85%;	44%;	2;	2;	0;	0;	74%;	44%;	69%;	43%;	48%;	41%;	21%;	35%;	NaN%;	NaN%;	
15000;	16;	2247;	5250;	7500;	0;	99%;	2;	1;	1;	0;	83%;	44%;	1;	1;	0;	0;	84%;	44%;	1;	1;	0;	0;	84%;	44%;	69%;	43%;	49%;	41%;	21%;	36%;	NaN%;	NaN%;	
20000;	16;	2997;	7000;	10000;	0;	100%;	2;	2;	0;	0;	93%;	44%;	2;	1;	0;	1;	88%;	44%;	1;	0;	1;	0;	94%;	44%;	71%;	43%;	50%;	41%;	21%;	36%;	NaN%;	NaN%;	
25000;	16;	3747;	8750;	12500;	0;	100%;	2;	1;	0;	1;	82%;	44%;	1;	1;	0;	0;	83%;	44%;	1;	1;	0;	0;	82%;	44%;	68%;	43%;	47%;	41%;	21%;	35%;	NaN%;	NaN%;	
30000;	16;	4497;	10500;	15000;	0;	99%;	1;	1;	0;	0;	92%;	44%;	1;	1;	0;	0;	91%;	44%;	1;	1;	0;	0;	85%;	44%;	70%;	43%;	49%;	41%;	21%;	36%;	NaN%;	NaN%;	
35000;	16;	5247;	12250;	17500;	0;	100%;	2;	1;	1;	0;	84%;	44%;	1;	0;	0;	1;	94%;	44%;	1;	0;	1;	0;	87%;	44%;	68%;	43%;	48%;	41%;	20%;	35%;	NaN%;	NaN%;	
40000;	16;	5997;	14000;	20000;	0;	100%;	2;	1;	1;	0;	94%;	44%;	1;	1;	0;	0;	88%;	44%;	1;	1;	0;	0;	87%;	44%;	73%;	43%;	52%;	41%;	23%;	36%;	NaN%;	NaN%;	
45000;	16;	6747;	15750;	22500;	0;	99%;	1;	0;	1;	0;	86%;	44%;	1;	1;	0;	0;	79%;	44%;	1;	1;	0;	0;	79%;	44%;	63%;	43%;	43%;	41%;	18%;	36%;	NaN%;	NaN%;	
50000;	16;	7497;	17500;	25000;	0;	100%;	2;	2;	0;	0;	76%;	44%;	3;	1;	1;	1;	76%;	44%;	1;	0;	1;	0;	86%;	44%;	65%;	43%;	45%;	41%;	19%;	35%;	NaN%;	NaN%;	
5000;	17;	747;	1750;	2500;	0;	100%;	4;	3;	0;	1;	92%;	41%;	2;	2;	0;	0;	92%;	41%;	2;	1;	1;	0;	87%;	41%;	75%;	41%;	53%;	39%;	23%;	34%;	NaN%;	NaN%;	
10000;	17;	1497;	3500;	5000;	0;	99%;	1;	1;	0;	0;	86%;	41%;	1;	1;	0;	0;	82%;	41%;	1;	1;	0;	0;	82%;	41%;	66%;	41%;	47%;	39%;	20%;	34%;	NaN%;	NaN%;	
15000;	17;	2247;	5250;	7500;	0;	99%;	3;	3;	0;	0;	71%;	41%;	3;	2;	1;	0;	76%;	41%;	2;	1;	1;	0;	83%;	41%;	69%;	41%;	48%;	39%;	20%;	34%;	NaN%;	NaN%;	
20000;	17;	2997;	7000;	10000;	0;	100%;	2;	1;	0;	1;	82%;	41%;	1;	1;	0;	0;	84%;	41%;	1;	1;	0;	0;	83%;	41%;	69%;	41%;	49%;	39%;	20%;	34%;	NaN%;	NaN%;	
25000;	17;	3747;	8750;	12500;	0;	100%;	3;	1;	2;	0;	92%;	41%;	2;	2;	0;	0;	81%;	41%;	1;	1;	0;	0;	89%;	41%;	68%;	41%;	47%;	39%;	20%;	34%;	NaN%;	NaN%;	
30000;	17;	4497;	10500;	15000;	0;	100%;	2;	1;	1;	0;	90%;	41%;	2;	1;	0;	1;	93%;	41%;	1;	1;	0;	0;	95%;	41%;	76%;	41%;	55%;	39%;	23%;	34%;	NaN%;	NaN%;	
35000;	17;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	88%;	41%;	1;	0;	1;	0;	92%;	41%;	1;	1;	0;	0;	84%;	41%;	69%;	41%;	48%;	39%;	20%;	34%;	NaN%;	NaN%;	
40000;	17;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	84%;	41%;	1;	1;	0;	0;	83%;	41%;	1;	1;	0;	0;	82%;	41%;	64%;	41%;	44%;	39%;	18%;	34%;	NaN%;	NaN%;	
45000;	17;	6747;	15750;	22500;	0;	100%;	2;	2;	0;	0;	84%;	41%;	2;	1;	1;	0;	87%;	41%;	1;	1;	0;	0;	92%;	41%;	67%;	41%;	46%;	39%;	20%;	34%;	NaN%;	NaN%;	
50000;	17;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	91%;	41%;	1;	1;	0;	0;	88%;	41%;	1;	1;	0;	0;	83%;	41%;	69%;	41%;	48%;	39%;	20%;	34%;	NaN%;	NaN%;	
5000;	18;	747;	1750;	2500;	0;	100%;	4;	2;	1;	1;	94%;	39%;	1;	1;	0;	0;	93%;	39%;	1;	1;	0;	0;	93%;	39%;	77%;	39%;	54%;	37%;	23%;	33%;	NaN%;	NaN%;	
10000;	18;	1497;	3500;	5000;	0;	99%;	2;	2;	0;	0;	76%;	39%;	1;	1;	0;	0;	87%;	39%;	1;	1;	0;	0;	83%;	39%;	68%;	39%;	47%;	37%;	20%;	33%;	NaN%;	NaN%;	
15000;	18;	2247;	5250;	7500;	0;	100%;	2;	2;	0;	0;	88%;	39%;	2;	1;	1;	0;	86%;	39%;	2;	1;	1;	0;	86%;	39%;	74%;	39%;	51%;	37%;	21%;	33%;	NaN%;	NaN%;	
20000;	18;	2997;	7000;	10000;	0;	99%;	2;	1;	1;	0;	91%;	39%;	1;	1;	0;	0;	91%;	39%;	1;	1;	0;	0;	87%;	39%;	71%;	39%;	49%;	37%;	20%;	33%;	NaN%;	NaN%;	
25000;	18;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	90%;	39%;	2;	1;	1;	0;	91%;	39%;	1;	1;	0;	0;	85%;	39%;	68%;	39%;	48%;	37%;	20%;	33%;	NaN%;	NaN%;	
30000;	18;	4497;	10500;	15000;	0;	100%;	2;	2;	0;	0;	78%;	39%;	1;	1;	0;	0;	89%;	39%;	1;	0;	1;	0;	95%;	39%;	70%;	39%;	50%;	37%;	21%;	33%;	NaN%;	NaN%;	
35000;	18;	5247;	12250;	17500;	0;	99%;	1;	0;	1;	0;	96%;	39%;	2;	2;	0;	0;	73%;	39%;	1;	0;	1;	0;	94%;	39%;	67%;	39%;	46%;	37%;	19%;	33%;	NaN%;	NaN%;	
40000;	18;	5997;	14000;	20000;	0;	99%;	1;	1;	0;	0;	86%;	39%;	1;	1;	0;	0;	82%;	39%;	1;	1;	0;	0;	81%;	39%;	65%;	39%;	45%;	37%;	18%;	33%;	NaN%;	NaN%;	
45000;	18;	6747;	15750;	22500;	0;	99%;	1;	1;	0;	0;	92%;	39%;	1;	1;	0;	0;	90%;	39%;	2;	0;	2;	0;	89%;	39%;	64%;	39%;	43%;	37%;	18%;	33%;	NaN%;	NaN%;	
50000;	18;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	91%;	39%;	2;	1;	0;	1;	87%;	39%;	1;	1;	0;	0;	90%;	39%;	74%;	39%;	52%;	37%;	22%;	33%;	NaN%;	NaN%;	
5000;	19;	747;	1750;	2500;	0;	100%;	4;	3;	0;	1;	93%;	37%;	3;	2;	1;	0;	79%;	37%;	3;	0;	2;	1;	89%;	37%;	78%;	37%;	55%;	35%;	22%;	32%;	NaN%;	NaN%;	
10000;	19;	1497;	3500;	5000;	0;	99%;	3;	2;	0;	1;	79%;	37%;	3;	3;	0;	0;	77%;	32%;	2;	1;	1;	0;	83%;	37%;	67%;	37%;	48%;	35%;	20%;	32%;	NaN%;	NaN%;	
15000;	19;	2247;	5250;	7500;	0;	100%;	2;	1;	0;	1;	90%;	37%;	1;	1;	0;	0;	89%;	37%;	1;	1;	0;	0;	88%;	37%;	70%;	37%;	49%;	35%;	20%;	32%;	NaN%;	NaN%;	
20000;	19;	2997;	7000;	10000;	0;	100%;	2;	2;	0;	0;	85%;	37%;	1;	1;	0;	0;	90%;	37%;	1;	1;	0;	0;	89%;	37%;	70%;	37%;	49%;	35%;	20%;	32%;	NaN%;	NaN%;	
25000;	19;	3747;	8750;	12500;	0;	99%;	1;	1;	0;	0;	87%;	37%;	2;	0;	1;	1;	89%;	37%;	1;	1;	0;	0;	83%;	37%;	67%;	37%;	46%;	35%;	19%;	32%;	NaN%;	NaN%;	
30000;	19;	4497;	10500;	15000;	0;	100%;	2;	2;	0;	0;	88%;	37%;	2;	2;	0;	0;	82%;	37%;	1;	1;	0;	0;	89%;	37%;	70%;	37%;	49%;	35%;	20%;	32%;	NaN%;	NaN%;	
35000;	19;	5247;	12250;	17500;	0;	100%;	2;	2;	0;	0;	74%;	37%;	1;	1;	0;	0;	79%;	37%;	1;	1;	0;	0;	78%;	37%;	64%;	37%;	44%;	35%;	18%;	32%;	NaN%;	NaN%;	
40000;	19;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	92%;	37%;	1;	1;	0;	0;	87%;	37%;	1;	1;	0;	0;	85%;	37%;	70%;	37%;	49%;	35%;	20%;	32%;	NaN%;	NaN%;	
45000;	19;	6747;	15750;	22500;	0;	100%;	2;	2;	0;	0;	88%;	37%;	2;	2;	0;	0;	83%;	37%;	2;	1;	1;	0;	88%;	37%;	74%;	37%;	52%;	35%;	22%;	32%;	NaN%;	NaN%;	
50000;	19;	7497;	17500;	25000;	0;	99%;	1;	1;	0;	0;	86%;	37%;	1;	0;	1;	0;	93%;	37%;	1;	1;	0;	0;	85%;	37%;	71%;	37%;	50%;	35%;	21%;	32%;	NaN%;	NaN%;	
5000;	20;	747;	1750;	2500;	0;	99%;	1;	1;	0;	0;	87%;	35%;	1;	1;	0;	0;	87%;	35%;	2;	0;	1;	1;	85%;	35%;	66%;	35%;	46%;	33%;	19%;	31%;	NaN%;	NaN%;	
10000;	20;	1497;	3500;	5000;	0;	99%;	1;	1;	0;	0;	95%;	35%;	2;	1;	1;	0;	87%;	35%;	1;	1;	0;	0;	92%;	35%;	73%;	35%;	51%;	34%;	21%;	30%;	NaN%;	NaN%;	
15000;	20;	2247;	5250;	7500;	0;	99%;	2;	2;	0;	0;	84%;	35%;	3;	0;	3;	0;	86%;	35%;	1;	1;	0;	0;	87%;	35%;	69%;	35%;	48%;	33%;	20%;	31%;	NaN%;	NaN%;	
20000;	20;	2997;	7000;	10000;	0;	100%;	2;	1;	1;	0;	84%;	35%;	1;	1;	0;	0;	89%;	35%;	1;	1;	0;	0;	82%;	35%;	66%;	35%;	46%;	33%;	19%;	31%;	NaN%;	NaN%;	
25000;	20;	3747;	8750;	12500;	0;	100%;	2;	1;	0;	1;	85%;	35%;	1;	1;	0;	0;	88%;	35%;	1;	1;	0;	0;	88%;	35%;	72%;	35%;	50%;	33%;	21%;	31%;	NaN%;	NaN%;	
30000;	20;	4497;	10500;	15000;	0;	100%;	3;	1;	1;	1;	95%;	35%;	2;	1;	1;	0;	93%;	35%;	1;	1;	0;	0;	91%;	35%;	74%;	35%;	53%;	33%;	22%;	31%;	NaN%;	NaN%;	
35000;	20;	5247;	12250;	17500;	0;	99%;	2;	1;	0;	1;	91%;	35%;	1;	1;	0;	0;	92%;	35%;	1;	1;	0;	0;	88%;	35%;	69%;	35%;	48%;	33%;	20%;	31%;	NaN%;	NaN%;	
40000;	20;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	91%;	35%;	1;	1;	0;	0;	89%;	35%;	1;	1;	0;	0;	87%;	35%;	71%;	35%;	50%;	33%;	21%;	31%;	NaN%;	NaN%;	
45000;	20;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	85%;	35%;	1;	1;	0;	0;	85%;	35%;	1;	1;	0;	0;	85%;	35%;	71%;	35%;	50%;	33%;	21%;	31%;	NaN%;	NaN%;	
50000;	20;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	92%;	35%;	1;	1;	0;	0;	91%;	35%;	1;	1;	0;	0;	91%;	35%;	73%;	35%;	51%;	33%;	21%;	30%;	NaN%;	NaN%;	
5000;	21;	747;	1750;	2500;	0;	100%;	2;	2;	0;	0;	86%;	33%;	2;	2;	0;	0;	77%;	33%;	1;	1;	0;	0;	89%;	33%;	72%;	33%;	51%;	32%;	20%;	30%;	NaN%;	NaN%;	
10000;	21;	1497;	3500;	5000;	0;	99%;	2;	2;	0;	0;	80%;	33%;	1;	1;	0;	0;	90%;	33%;	2;	1;	0;	1;	81%;	33%;	71%;	33%;	50%;	32%;	20%;	30%;	NaN%;	NaN%;	
15000;	21;	2247;	5250;	7500;	0;	99%;	3;	1;	1;	1;	86%;	33%;	2;	1;	1;	0;	86%;	33%;	1;	1;	0;	0;	90%;	33%;	69%;	33%;	49%;	32%;	20%;	29%;	NaN%;	NaN%;	
20000;	21;	2997;	7000;	10000;	0;	99%;	2;	2;	0;	0;	89%;	33%;	2;	2;	0;	0;	88%;	33%;	2;	1;	0;	1;	95%;	33%;	74%;	33%;	53%;	32%;	21%;	30%;	NaN%;	NaN%;	
25000;	21;	3747;	8750;	12500;	0;	99%;	1;	1;	0;	0;	90%;	33%;	1;	0;	1;	0;	96%;	33%;	1;	1;	0;	0;	85%;	33%;	72%;	33%;	51%;	32%;	21%;	30%;	NaN%;	NaN%;	
30000;	21;	4497;	10500;	15000;	0;	100%;	1;	1;	0;	0;	88%;	33%;	3;	0;	2;	1;	84%;	33%;	1;	1;	0;	0;	86%;	33%;	69%;	33%;	48%;	32%;	19%;	29%;	NaN%;	NaN%;	
35000;	21;	5247;	12250;	17500;	0;	100%;	3;	2;	1;	0;	90%;	33%;	2;	2;	0;	0;	91%;	33%;	2;	1;	1;	0;	89%;	33%;	75%;	33%;	53%;	32%;	22%;	30%;	NaN%;	NaN%;	
40000;	21;	5997;	14000;	20000;	0;	100%;	2;	2;	0;	0;	97%;	33%;	1;	1;	0;	0;	93%;	33%;	1;	1;	0;	0;	92%;	33%;	76%;	33%;	54%;	32%;	22%;	30%;	NaN%;	NaN%;	
45000;	21;	6747;	15750;	22500;	0;	100%;	2;	1;	1;	0;	87%;	33%;	2;	1;	1;	0;	85%;	33%;	1;	1;	0;	0;	92%;	33%;	70%;	33%;	49%;	32%;	20%;	29%;	NaN%;	NaN%;	
50000;	21;	7497;	17500;	25000;	0;	99%;	2;	1;	0;	1;	86%;	33%;	1;	1;	0;	0;	89%;	33%;	1;	1;	0;	0;	89%;	33%;	70%;	33%;	50%;	32%;	20%;	30%;	NaN%;	NaN%;	
5000;	22;	747;	1750;	2500;	0;	100%;	3;	2;	1;	0;	83%;	32%;	2;	2;	0;	0;	70%;	32%;	2;	1;	0;	1;	80%;	32%;	67%;	32%;	46%;	31%;	18%;	28%;	NaN%;	NaN%;	
10000;	22;	1497;	3500;	5000;	0;	98%;	1;	1;	0;	0;	96%;	32%;	2;	1;	1;	0;	88%;	32%;	1;	1;	0;	0;	94%;	32%;	78%;	32%;	56%;	31%;	22%;	29%;	NaN%;	NaN%;	
15000;	22;	2247;	5250;	7500;	0;	100%;	2;	1;	1;	0;	89%;	32%;	3;	0;	2;	1;	88%;	32%;	2;	1;	0;	1;	86%;	32%;	66%;	32%;	45%;	31%;	18%;	28%;	NaN%;	NaN%;	
20000;	22;	2997;	7000;	10000;	0;	99%;	2;	2;	0;	0;	93%;	32%;	2;	2;	0;	0;	87%;	32%;	2;	1;	1;	0;	88%;	32%;	72%;	32%;	51%;	30%;	21%;	28%;	NaN%;	NaN%;	
25000;	22;	3747;	8750;	12500;	0;	98%;	2;	1;	0;	1;	88%;	32%;	2;	2;	0;	0;	78%;	32%;	2;	1;	0;	1;	82%;	32%;	67%;	32%;	47%;	31%;	19%;	29%;	NaN%;	NaN%;	
30000;	22;	4497;	10500;	15000;	0;	100%;	3;	3;	0;	0;	78%;	32%;	1;	1;	0;	0;	87%;	32%;	1;	1;	0;	0;	85%;	32%;	66%;	32%;	46%;	31%;	18%;	28%;	NaN%;	NaN%;	
35000;	22;	5247;	12250;	17500;	0;	100%;	2;	2;	0;	0;	80%;	32%;	2;	1;	0;	1;	89%;	32%;	2;	1;	1;	0;	85%;	32%;	69%;	32%;	49%;	30%;	20%;	28%;	NaN%;	NaN%;	
40000;	22;	5997;	14000;	20000;	0;	100%;	2;	2;	0;	0;	81%;	32%;	1;	1;	0;	0;	85%;	32%;	2;	1;	1;	0;	77%;	32%;	66%;	32%;	46%;	31%;	19%;	28%;	NaN%;	NaN%;	
45000;	22;	6747;	15750;	22500;	0;	100%;	2;	2;	0;	0;	88%;	32%;	2;	0;	2;	0;	87%;	32%;	1;	0;	1;	0;	93%;	32%;	72%;	32%;	51%;	31%;	20%;	29%;	NaN%;	NaN%;	
50000;	22;	7497;	17500;	25000;	0;	100%;	2;	2;	0;	0;	78%;	32%;	1;	1;	0;	0;	87%;	32%;	1;	1;	0;	0;	84%;	32%;	69%;	32%;	49%;	31%;	20%;	28%;	NaN%;	NaN%;	
5000;	23;	747;	1750;	2500;	0;	98%;	2;	2;	0;	0;	89%;	30%;	3;	1;	1;	1;	88%;	30%;	2;	1;	1;	0;	91%;	30%;	74%;	30%;	53%;	29%;	21%;	28%;	NaN%;	NaN%;	
10000;	23;	1497;	3500;	5000;	0;	100%;	2;	2;	0;	0;	93%;	30%;	3;	1;	1;	1;	81%;	30%;	2;	1;	1;	0;	82%;	30%;	73%;	30%;	52%;	29%;	20%;	28%;	NaN%;	NaN%;	
15000;	23;	2247;	5250;	7500;	0;	95%;	2;	2;	0;	0;	71%;	30%;	1;	1;	0;	0;	84%;	30%;	1;	1;	0;	0;	83%;	30%;	69%;	30%;	49%;	29%;	19%;	28%;	NaN%;	NaN%;	
20000;	23;	2997;	7000;	10000;	0;	100%;	2;	2;	0;	0;	86%;	30%;	1;	1;	0;	0;	94%;	30%;	2;	1;	1;	0;	87%;	30%;	72%;	30%;	50%;	29%;	20%;	28%;	NaN%;	NaN%;	
25000;	23;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	96%;	26%;	2;	1;	1;	0;	89%;	30%;	2;	1;	0;	1;	93%;	30%;	74%;	30%;	52%;	29%;	21%;	27%;	NaN%;	NaN%;	
30000;	23;	4497;	10500;	15000;	0;	100%;	3;	2;	0;	1;	90%;	30%;	3;	2;	0;	1;	81%;	30%;	1;	1;	0;	0;	90%;	30%;	75%;	30%;	54%;	29%;	21%;	27%;	NaN%;	NaN%;	
35000;	23;	5247;	12250;	17500;	0;	100%;	2;	1;	1;	0;	87%;	30%;	2;	1;	1;	0;	83%;	30%;	1;	1;	0;	0;	89%;	30%;	69%;	30%;	49%;	29%;	19%;	28%;	NaN%;	NaN%;	
40000;	23;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	88%;	30%;	1;	1;	0;	0;	87%;	30%;	1;	1;	0;	0;	87%;	30%;	70%;	30%;	50%;	29%;	20%;	28%;	NaN%;	NaN%;	
45000;	23;	6747;	15750;	22500;	0;	100%;	3;	2;	1;	0;	89%;	30%;	2;	2;	0;	0;	81%;	30%;	1;	1;	0;	0;	89%;	30%;	66%;	30%;	46%;	29%;	18%;	28%;	NaN%;	NaN%;	
50000;	23;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	92%;	30%;	1;	1;	0;	0;	88%;	30%;	1;	1;	0;	0;	88%;	30%;	74%;	30%;	52%;	29%;	21%;	28%;	NaN%;	NaN%;	
5000;	24;	747;	1750;	2500;	0;	99%;	3;	1;	1;	1;	93%;	29%;	2;	0;	1;	1;	93%;	29%;	1;	1;	0;	0;	86%;	29%;	70%;	29%;	49%;	28%;	20%;	27%;	NaN%;	NaN%;	
10000;	24;	1497;	3500;	5000;	0;	100%;	2;	2;	0;	0;	84%;	29%;	2;	2;	0;	0;	77%;	29%;	1;	1;	0;	0;	90%;	29%;	70%;	29%;	49%;	28%;	19%;	27%;	NaN%;	NaN%;	
15000;	24;	2247;	5250;	7500;	0;	100%;	2;	2;	0;	0;	87%;	29%;	3;	2;	0;	1;	81%;	29%;	1;	1;	0;	0;	86%;	29%;	70%;	29%;	49%;	28%;	19%;	27%;	NaN%;	NaN%;	
20000;	24;	2997;	7000;	10000;	0;	100%;	3;	1;	0;	2;	90%;	29%;	1;	1;	0;	0;	93%;	29%;	1;	1;	0;	0;	91%;	29%;	75%;	29%;	53%;	28%;	21%;	27%;	NaN%;	NaN%;	
25000;	24;	3747;	8750;	12500;	0;	100%;	2;	1;	1;	0;	93%;	29%;	1;	1;	0;	0;	94%;	29%;	1;	1;	0;	0;	91%;	29%;	75%;	29%;	53%;	28%;	21%;	27%;	NaN%;	NaN%;	
30000;	24;	4497;	10500;	15000;	0;	100%;	2;	1;	1;	0;	85%;	29%;	1;	1;	0;	0;	89%;	29%;	2;	1;	0;	1;	83%;	29%;	65%;	29%;	45%;	28%;	18%;	27%;	NaN%;	NaN%;	
35000;	24;	5247;	12250;	17500;	0;	99%;	2;	2;	0;	0;	85%;	29%;	1;	1;	0;	0;	89%;	29%;	1;	1;	0;	0;	89%;	29%;	75%;	29%;	53%;	28%;	21%;	27%;	NaN%;	NaN%;	
40000;	24;	5997;	14000;	20000;	0;	99%;	2;	1;	1;	0;	87%;	29%;	2;	1;	1;	0;	86%;	29%;	1;	1;	0;	0;	92%;	29%;	67%;	29%;	47%;	28%;	19%;	27%;	NaN%;	NaN%;	
