Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
5000;	4;	747;	1750;	2500;	0;	100%;	2;	1;	0;	1;	90%;	100%;	1;	0;	1;	0;	85%;	100%;	1;	1;	0;	0;	88%;	75%;	62%;	91%;	46%;	72%;	22%;	56%;	NaN%;	NaN%;	
10000;	4;	1497;	3500;	5000;	0;	100%;	1;	1;	0;	0;	82%;	100%;	1;	0;	1;	0;	85%;	100%;	1;	0;	1;	0;	83%;	100%;	59%;	91%;	42%;	73%;	17%;	56%;	NaN%;	NaN%;	
15000;	4;	2247;	5250;	7500;	0;	100%;	1;	1;	0;	0;	79%;	100%;	1;	0;	1;	0;	88%;	100%;	1;	0;	0;	1;	94%;	100%;	64%;	91%;	46%;	72%;	21%;	55%;	NaN%;	NaN%;	
20000;	4;	2997;	7000;	10000;	0;	99%;	1;	1;	0;	0;	93%;	100%;	1;	1;	0;	0;	91%;	100%;	1;	0;	0;	1;	97%;	100%;	72%;	92%;	53%;	73%;	26%;	55%;	NaN%;	NaN%;	
25000;	4;	3747;	8750;	12500;	0;	100%;	1;	1;	0;	0;	88%;	100%;	1;	1;	0;	0;	87%;	100%;	1;	0;	1;	0;	88%;	100%;	66%;	92%;	49%;	72%;	23%;	55%;	NaN%;	NaN%;	
30000;	4;	4497;	10500;	15000;	0;	100%;	1;	0;	0;	1;	96%;	100%;	0;	0;	0;	0;	96%;	100%;	1;	1;	0;	0;	95%;	75%;	70%;	92%;	51%;	73%;	25%;	55%;	NaN%;	NaN%;	
35000;	4;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	93%;	100%;	2;	1;	1;	0;	71%;	100%;	1;	0;	1;	0;	93%;	100%;	66%;	92%;	49%;	72%;	24%;	55%;	NaN%;	NaN%;	
40000;	4;	5997;	14000;	20000;	0;	99%;	1;	1;	0;	0;	87%;	100%;	1;	1;	0;	0;	77%;	100%;	1;	1;	0;	0;	72%;	100%;	60%;	92%;	43%;	73%;	19%;	55%;	NaN%;	NaN%;	
45000;	4;	6747;	15750;	22500;	0;	100%;	2;	1;	1;	0;	92%;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	77%;	100%;	71%;	92%;	53%;	73%;	26%;	55%;	NaN%;	NaN%;	
50000;	4;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	94%;	100%;	1;	1;	0;	0;	91%;	100%;	1;	0;	1;	0;	98%;	100%;	64%;	92%;	46%;	72%;	20%;	55%;	NaN%;	NaN%;	
5000;	5;	747;	1750;	2500;	0;	100%;	1;	1;	0;	0;	94%;	100%;	1;	1;	0;	0;	77%;	100%;	1;	0;	1;	0;	87%;	100%;	67%;	90%;	49%;	70%;	23%;	53%;	NaN%;	NaN%;	
10000;	5;	1497;	3500;	5000;	0;	98%;	1;	1;	0;	0;	76%;	100%;	1;	1;	0;	0;	75%;	100%;	1;	0;	1;	0;	82%;	100%;	60%;	89%;	43%;	71%;	19%;	53%;	NaN%;	NaN%;	
15000;	5;	2247;	5250;	7500;	0;	99%;	2;	0;	1;	1;	85%;	100%;	0;	0;	0;	0;	94%;	100%;	1;	0;	0;	1;	88%;	100%;	68%;	90%;	52%;	69%;	25%;	53%;	NaN%;	NaN%;	
