Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
35000;	6;	5247;	12250;	0;	23924;	100%;	1;	1;	0;	0;	93%;	100%;	1;	1;	0;	0;	83%;	100%;	1;	1;	0;	0;	79%;	100%;	70%;	90%;	53%;	69%;	NaN%;	NaN%;	31%;	55%;	
40000;	6;	5997;	14000;	0;	26830;	100%;	2;	2;	0;	0;	94%;	83%;	1;	0;	1;	0;	90%;	100%;	0;	0;	0;	0;	96%;	100%;	72%;	89%;	55%;	68%;	NaN%;	NaN%;	32%;	54%;	
45000;	6;	6747;	15750;	0;	30562;	100%;	1;	1;	0;	0;	87%;	100%;	1;	1;	0;	0;	85%;	100%;	1;	0;	1;	0;	89%;	100%;	71%;	89%;	54%;	68%;	NaN%;	NaN%;	32%;	54%;	
50000;	6;	7497;	17500;	0;	36311;	99%;	1;	1;	0;	0;	76%;	100%;	1;	0;	1;	0;	83%;	100%;	0;	0;	0;	0;	91%;	100%;	65%;	89%;	49%;	68%;	NaN%;	NaN%;	30%;	55%;	
5000;	7;	747;	1750;	0;	3301;	99%;	2;	2;	0;	0;	91%;	71%;	1;	1;	0;	0;	78%;	100%;	0;	0;	0;	0;	86%;	100%;	66%;	88%;	49%;	68%;	NaN%;	NaN%;	27%;	53%;	
10000;	7;	1497;	3500;	0;	6381;	100%;	2;	1;	1;	0;	86%;	100%;	1;	1;	0;	0;	93%;	86%;	1;	1;	0;	0;	78%;	100%;	68%;	87%;	52%;	67%;	NaN%;	NaN%;	30%;	53%;	
15000;	7;	2247;	5250;	0;	10090;	100%;	2;	2;	0;	0;	81%;	86%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	81%;	100%;	63%;	88%;	47%;	67%;	NaN%;	NaN%;	28%;	53%;	
20000;	7;	2997;	7000;	0;	13976;	100%;	1;	1;	0;	0;	73%;	100%;	1;	1;	0;	0;	85%;	86%;	0;	0;	0;	0;	85%;	100%;	60%;	88%;	45%;	67%;	NaN%;	NaN%;	27%;	54%;	
25000;	7;	3747;	8750;	0;	16905;	99%;	1;	1;	0;	0;	80%;	100%;	0;	0;	0;	0;	89%;	100%;	1;	1;	0;	0;	73%;	100%;	63%;	88%;	48%;	67%;	NaN%;	NaN%;	29%;	53%;	
30000;	7;	4497;	10500;	0;	20934;	99%;	1;	1;	0;	0;	80%;	100%;	0;	0;	0;	0;	86%;	100%;	0;	0;	0;	0;	85%;	100%;	60%;	89%;	45%;	68%;	NaN%;	NaN%;	26%;	54%;	
